fievre: fever
paresthesies_bilat: bilateral_paresthesia
rds_paralys_gen: general_weakness_paralysis
contact_allergie: allergy_contact
wheez: wheezing
obstipation: constipation
boire_ped: appetite_decrease
ww_valsalva: valsalva_wheezing
toux_Aboy: whooping_cough
ww_nuit: nighttime_wheezing
surg1: recent_surgery
prurit_occ: severe_itching_eyes
expecto: colored_sputum_cough
angor_accelere: accelerated_chest_pain
angor_repos: resting_chest_pain
prurit_nasal: itchy_nose
rds_paresthesie_gen: general_body_paresthesia
rds_deg: general_discomfort
rds_anorexie: anorexia
ménorr: long_menstruation
flushing: red_cheeks
spasme_trapeze: neck_spasms
selles_pale: pale_stools
pls_irreg: irregular_heartbeat
spasmes_msk: muscle_spasms
protu_langue: tongue_retention
regard_dévié: eye_control
dyspn_noct: night_shortness_breath
f10.129: alcohol_addiction
naco: new_oral_anticoagulants
psy_depers: detachment_sense
impression_mort: death_feeling
rhino_pur: colored_nasal_discharge
hyponos: loss_of_smell
apnee: sleep_apnea
i25.1: heart_attack
i73.9: poor_blood_circulation
i10: high_blood_pressure_and_medications
f17.210: daily_cigarette
e78.5: high_cholesterol
contact: contact_similar_symptoms
horm1: hormone_use
e10_e11: diabetes
preg1: pregnancy
itss_risque: unprotected_sex
e66: overweight
ains: recent_anti_inflammatory
pneumothorax: family_pneumothorax
Z99.2: dialysis
atcd_cluster: family_cluster_headaches
rx_vasodil: vasodilator_medication
s09.90: head_trauma
histfammigraine: family_migraines
i60-i69: stroke
z84.89: common_allergies
drogues_stimul: regular_stimulant_drugs
dayc: daycare
g20: Parkinsons_disease
trav1: recent_travel
cancer_méta: metastatic_cancer
osteoporose: osteoporosis_treatment
j45: asthma
hernie_hiatale: hiatal_hernia
j06.9: cold
crowd: four_or_more_people
HIV: HIV_infection
z92.25: immunosuppression
drogues_IV: intravenous_drugs
crohn_cu: Crohns_disease
atcd_its: sexually_transmitted_infection
move: regular_exercise
smokingpast: former_smoker
v85.0: underweight
k74: liver_cirrhosis
sex_vih: HIV_positive_partner
Mauv_aliment: poor_diet
atcd_anem: anemia
atcd_fam_anem: family_anemia
irc: chronic_kidney_failure
perinatality: premature_birth
atcdfam_mg: family_myasthenia_gravis
ap_par: Rheumatoid_Arthritis
f32: depression
cont_coq: pertussis_contact
B34.9: recent_viral_infection
H6690: recent_ear_infection
c00-d48: active_cancer
vaccination: up_to_date_vaccinations
malf_cardiaque: heart_defect
ap_hypert4: hyperthyroidism
bode: severe_COPD
ap_valve: heart_valve_issue
drink_energie: regular_energy_drinks
cafe: regular_coffee
wakeup: recent_decongestants
allergie_sev: severe_food_allergy
cortico: corticosteroids
J05.0: croup
f41.9: chronic_anxiety
i80: deep_vein_thrombosis
immob1: inability_to_move
ap_asian: Asian_descent
ap_fk: cystic_fibrosis
j17_j18: pneumonia
j44_j42: COPD
urban1: big_city
fam_atopie: family_allergies
fam_j45: family_asthma
menarche_hat: early_menstruation
allait_prol: long_breastfeeding
sahs: OSA
i50: heart_failure
patho_endo: endocrine_disease
scombroide: dark_fleshed_fish
K86.1: chronic_pancreatitis
k21: gastroesophageal_reflux
ap_pneumothorax: spontaneous_pneumothorax
z77.22: secondhand_smoke
faiblesse faciale: facial_weakness
antipsy_récent: recent_antipsychotic
nau_psy_recent: recent_nausea_agitation
lymphoedème: lymph_node_removal
norvasc: calcium_channel_blocker
synd_nephro: kidney_protein_loss
I30: pericarditis
atcdpsyfam: psychiatric_family_member
z82.49: cardiovascular_family_member
ebolacase: ebola_contact
m79.7: fibromyalgia
hosptisasm: hospitalized_asthma
criseasthm: asthma_attacks
j32: chronic_sinusitis
eampoc1: COPD_flare_up
tagri: agriculture_work
tmine: mining_work
tconst: construction_work
j34.2: deviated_nasal_septum
j33: nose_polyps
momasthma: mother_asthma
suburb: suburban_living
rural: rural_living
z80.1: lung_cancer_family_member
z80.0: pancreatic_cancer_family_member
J81: pulmonary_fluid
